d_Ob,d_M,d_fund,d_eff,E_ovl,E_ovl_sem,E_td,E_td_sem,E_S,E_S_sem
2,4,6,8,0.1297657870976285,0.007012370697620711,0.11973794906045668,0.005175648368224164,0.04502208515159837,0.004086695660156616
3,4,9,12,0.07942679256115417,0.00466759509062832,0.11415923746390219,0.004224737635265587,0.04456674441043737,0.0035850024488723133
4,4,12,16,0.0620398958368712,0.003137642335225943,0.11800419903583327,0.002698167467424259,0.043053331135235996,0.0027749081114038406
6,4,18,24,0.04126870291903413,0.0022124147301238435,0.11581834301483829,0.0017725932714900455,0.04003262533008837,0.0018659123498570864
8,4,24,32,0.03290598232850562,0.0015265855018092823,0.11676194259115089,0.0015537691561233258,0.03954850557297066,0.001634055624406696
10,4,30,40,0.02573932469333602,0.001262160854994847,0.11666539574432114,0.001115772374562182,0.040452730566116334,0.001310709741991646
12,4,36,48,0.021490294125686964,0.0008872631301620477,0.118800436909234,0.0009573127730953634,0.042516884381662595,0.000993988049787502
