d_Ob,d_M,d_fund,d_eff,E_ovl,E_ovl_sem,E_td,E_td_sem,E_S,E_S_sem
2,4,4,8,0.22408370124871813,0.011247625581250512,0.19150454510502693,0.00758584157405035,0.10748422328672544,0.00843738527385254
3,4,6,12,0.13395297948049023,0.0074541451195867135,0.19661332821210034,0.005462407072718113,0.1189676213383001,0.006654213258275377
4,4,8,16,0.11403600010793574,0.005019702749100138,0.20492822818025,0.0037352050632213176,0.1258596342083319,0.005311008201960441
6,4,12,24,0.07428207808469169,0.0031748787682406034,0.21322940464244802,0.002549500229417899,0.12690286285802427,0.0038372411347614753
8,4,16,32,0.05289600173526797,0.0024482215644726153,0.2048695149125053,0.0020148276341607737,0.12124881681042865,0.0031440423803347248
10,4,20,40,0.04077427924865152,0.00206293078361885,0.20629450137324304,0.0014257942186555914,0.1247531887600708,0.002329199399496253
12,4,24,48,0.033030828893979965,0.0019069521714521957,0.2082225172896429,0.0014225826977530866,0.125350194295217,0.002172232806521838
16,4,32,64,0.027389134969709256,0.0012257108292604351,0.20752128349771023,0.0010474040530166664,0.12720142451689784,0.0017029248154656273
