d_Ob,d_M,d_fund,d_eff,E_ovl,E_ovl_sem,E_td,E_td_sem,E_S,E_S_sem
2,4,2,8,0.371642617536915,0.01531575333601122,0.3369151786692143,0.011332683944538173,0.2849955108533221,0.0163752422312067
3,4,3,12,0.24841892939400848,0.011805758176337677,0.3328947258659612,0.008208529619195349,0.3308198905428193,0.013147888805538667
4,4,4,16,0.16797770439137583,0.007997928329460932,0.35436128544113227,0.005856175238436568,0.3716699655520001,0.012057621841962062
6,4,6,24,0.12125329538364102,0.006062007876555938,0.35650416946736296,0.0037245942474943994,0.3655114946457935,0.008185124769951393
8,4,8,32,0.08980246614041396,0.00465325102769771,0.3530765797585944,0.0026940265154530188,0.36704718507091993,0.005434455654121072
10,4,10,40,0.08229689761166244,0.004009783210413542,0.35483337257986786,0.002293776959902437,0.37583456129390724,0.004005207858359888
12,4,12,48,0.059903283283360496,0.002824465167117219,0.35503198542343545,0.0021326629742393086,0.3791394909245814,0.004032585720243645
16,4,16,64,0.04597134758676737,0.002231006970137267,0.35583502310029247,0.0015140792195698933,0.37329700865824844,0.002809623118269586
