d_B,class,bulk_offdiag_fro,measured_offdiag_fro,ratio,meas_over_sem_scale
4,product,0.5514737317991454,0.003909254869293152,0.007088741754823888,0.25535145878023385
6,product,0.8515695758260554,0.003358689777143783,0.003944116690507319,0.25490663159274474
8,product,0.9052810560566552,0.0020180879116002636,0.00222923908337475,0.12204248543908568
4,haar,0.19579766973118076,0.005046643584536633,0.025774788798382492,0.32964537855480036
6,haar,0.17288235847064157,0.0022068136754072308,0.012764828609056639,0.16748538206146463
8,haar,0.16692440369381012,0.002078641011186977,0.012452589107341273,0.12570439269898448
