d_Ob,d_M,d_fund,d_eff,E_ovl,E_td,E_S,E_td*sqrt(d_M)
4,2,4,8,0.14352332973457488,0.29470476321559036,0.26494682687806265,0.41677547303543955
4,3,6,12,0.10980988437300084,0.2406654190725174,0.16713100354296112,0.416844733458456
4,4,8,16,0.09476007716644684,0.2016592826819382,0.11664501244909274,0.4033185653638764
4,5,10,20,0.10251536419123995,0.18523275678019946,0.09826403445186238,0.4141930358202111
4,6,12,24,0.09364564187010388,0.16849902480213722,0.08125103096168865,0.4127366329218034
4,8,16,32,0.08056812033892834,0.1461500850016388,0.06053794690839028,0.4133748647025966
