d_B,class,N,mean,sem
4,product,80,0.19203783094728605,0.017521430419135866
6,product,80,0.20110657607549323,0.01812651186337025
8,product,40,0.17110132845661682,0.017694342495070205
4,haar,80,0.016893720674704963,0.001772949190525879
6,haar,80,0.009273610087409267,0.0008978578527231604
8,haar,40,0.008186066084413125,0.0008418499728661867
