d_B,measured_ratio,ratio_sem,theory_ratio
4,11.37965723630051,0.6162279528952336,12.182466271350142
6,15.822914752867435,1.078551911762093,18.273699407025212
8,21.98015959071651,1.5190253694838196,24.364932542700284
10,28.39415356423164,2.2063902004038036,30.45616567837536
12,32.60457473244955,2.8088768515781766,36.54739881405042
16,52.496633012700876,5.425983244713784,48.72986508540057
24,68.9589274278867,8.112730988105465,73.09479762810085
32,95.92256265251297,13.543623666941732,97.45973017080114
