d_B,d_M,class,N,E_S_diff,E_H_diff,ratio,mean_paired_diff,sem_paired_diff,z_equal
4,4,haar,600,0.020954582923327105,0.019571643137579024,1.0706603822697305,0.0013829397857480807,0.0004025329033445945,3.4355943930481474
4,4,product,600,0.20873557013242802,0.21131087787673541,0.987812706235551,-0.0025753077443073586,0.0011068385900843691,-2.326723848787252
6,4,haar,400,0.011810799759065443,0.011850214578033182,0.9966739151676796,-3.941481896774068e-05,0.0001809144225125243,-0.2178644378947294
6,4,product,400,0.19216896224979585,0.19390629652764627,0.9910403410876205,-0.0017373342778504058,0.0007354715929293917,-2.362204461127565
8,4,haar,250,0.007639034619819885,0.007503947033524746,1.0180022041322547,0.00013508758629513905,0.0001165079422795257,1.159471051089694
8,4,product,250,0.18817541456968434,0.18866991912072972,0.9973789963267597,-0.0004945045510453783,0.0005472355512837901,-0.9036411283683832
