d,N,d_var_H,asymptote
8,12500,0.20365598084216763,0.2898681336964528
16,6250,0.2387732803360258,0.2898681336964528
32,3125,0.2701171209008286,0.2898681336964528
64,2000,0.2755619501388708,0.2898681336964528
128,2000,0.2795856911089968,0.2898681336964528
256,2000,0.28552162574008405,0.2898681336964528
512,2000,0.2824549598766193,0.2898681336964528
