d_B,N,measured,sem,theory
4,80,0.021569009452524927,0.0023462167420809843,0.024933892525089544
6,80,0.012407956753740254,0.0011505100021459596,0.013572291997303332
8,40,0.006822249633871358,0.00102084716834698,0.008815462242933692
