d_B,N,fullV_mean,fullV_sem,noV_mean,noV_sem,theory
4,80,0.21002427495457265,0.019584838401857776,0.21395623837811056,0.020478693291053007,0.3037563047003728
6,80,0.21489325760868366,0.0226892249000971,0.21845423738122074,0.02265346513940447,0.24801598422309495
8,40,0.1609389754537336,0.02496293564151166,0.15984338749534424,0.025007992714863845,0.2147881428818008
