d,N,measured,sem,theory,ratio
8,6250,0.18068141415762073,0.0018322700038396647,0.21478814288180076,0.8412075812632304
16,3125,0.1396059764373419,0.001991905116038006,0.1518781523501864,0.9191972267048096
32,1562,0.10058813038933817,0.002004853365887681,0.10739407144090038,0.9366264733215971
64,1000,0.07649063690291624,0.001973966884553852,0.0759390761750932,1.0072632003917366
128,1000,0.054972178111917146,0.0013058642589977942,0.05369703572045019,1.0237469792207046
256,1000,0.03822306527779297,0.0008996645772246531,0.0379695380875466,1.0066771207398366
512,1000,0.02639464824591039,0.0006143838839967354,0.026848517860225095,0.9830951705908841
