d,N,measured,sem,theory,ratio
8,7500,0.0077319577816980355,7.390395399690617e-05,0.008815462242933692,0.8770904540934115
12,5000,0.004420298822210357,4.959183392219428e-05,0.004798529853768548,0.921177726702868
16,3750,0.0029388516041685903,3.85116807620837e-05,0.003116736565636193,0.9429258913220686
24,2500,0.0016307885352779088,2.5580391458684884e-05,0.0016965364996629165,0.9612457707817833
32,1875,0.001083798701591568,1.943878885434082e-05,0.0011019327803667115,0.9835433893080949
48,1500,0.000586853338338217,1.1486268043468016e-05,0.0005998162317210685,0.978388558532908
64,1500,0.0003774599884160956,7.4533622320755e-06,0.0003895920707045241,0.9688595246138113
