d,ratio_to_gauss,target
8,0.80074621104316,0.7978845608028654
16,0.8080833175337727,0.7978845608028654
32,0.7741598990006484,0.7978845608028654
64,0.824277872487989,0.7978845608028654
128,0.8317167761005521,0.7978845608028654
256,0.8093027070043037,0.7978845608028654
512,0.7946232329254665,0.7978845608028654
